ds,mean,max,p90,p95
2021-03-26,3.2427845,5.2315454,4.716673,4.952673
2021-03-27,6.743466,10.91505,9.79156,10.115031
2021-03-28,3.621459,5.510091,4.6417747,5.379647
2021-03-29,2.4928281,3.7401462,3.601609,3.655332
2021-03-30,2.3582742,3.214908,2.9244199,2.982168
2021-03-31,1.4545177,2.083886,1.798431,1.8677292
2021-04-01,1.5525912,2.3801312,2.1254663,2.1527567
2021-04-02,0.21863836,0.5763332,0.46692038,0.5160327
2021-04-03,5.339638,8.424836,7.789029,8.316115
2021-04-04,4.203878,6.2486215,5.6272435,6.0078173
2021-04-05,1.4177575,3.0030413,1.9469552,2.8126574
2021-04-06,1.1416501,2.070063,1.658011,1.8916066
2021-04-07,0.8506508,1.799289,1.5275681,1.6626676
2021-04-08,1.6815128,2.2480078,2.1079636,2.2021544
